sveitarfelag,ar,staerd,leiguverd,kaupverd,fasteignamat,vextir,afborgun
Eyjafjarðarsveit,2019,90-99,105000,11000000,21550000,0.053099999999999994,44060.76135974632
Fjallabyggð,2011,50-59,55000,3000000,2495000,0.059,12974.419390289353
Fjallabyggð,2011,80-89,25000,6283000,3330000,0.059,27172.759009729332
Fjallabyggð,2011,100-109,60000,7200000,4410000,0.059,31138.606536694446
Fjallabyggð,2011,110-150,73500,8450000,5885000,0.059,36544.61461598168
Fjallabyggð,2012,60-69,50000,3500000,3660000,0.0641,16127.451483208211
Fjallabyggð,2012,70-79,42500,5300000,4080000,0.0641,24421.56938885815
Fjallabyggð,2012,80-89,70000,6500000,5450000,0.0641,29950.98132595811
Fjallabyggð,2012,100-109,57500,6000000,5590000,0.0641,27647.059685499793
Fjallabyggð,2012,110-150,75000,7000000,6120000,0.0641,32254.902966416423
Fjallabyggð,2013,50-59,95000,2500000,3330000,0.0675,11999.63877931559
Fjallabyggð,2013,60-69,70000,2000000,4760000,0.0675,9599.711023452473
Fjallabyggð,2013,70-79,50000,7000000,4450000,0.0675,33598.98858208366
Fjallabyggð,2013,100-109,66500,9500000,6880000,0.0675,45598.627361399245
Fjallabyggð,2013,110-150,100000,7415000,7175000,0.0675,35590.92861945004
Fjallabyggð,2014,50-59,70000,3000000,3700000,0.06416666666666666,13834.750592964265
Fjallabyggð,2014,60-69,85000,2400000,3730000,0.06416666666666666,11067.800474371412
Fjallabyggð,2014,70-79,70000,8250000,5200000,0.06416666666666666,38045.56413065172
Fjallabyggð,2014,80-89,70000,7125000,5490000,0.06416666666666666,32857.532658290125
Fjallabyggð,2014,110-150,90000,10450000,8495000,0.06416666666666666,48191.04789882551
Fjallabyggð,2015,50-59,50000,6000000,5080000,0.066875,28586.2188031631
Fjallabyggð,2015,60-69,60000,3000000,5240000,0.066875,14293.10940158155
Fjallabyggð,2015,70-79,67500,8000000,6110000,0.066875,38114.95840421746
Fjallabyggð,2015,80-89,70000,6084000,6010000,0.066875,28986.425866407382
Fjallabyggð,2015,110-150,99000,6500000,6490000,0.066875,30968.40370342669
Fjallabyggð,2016,50-59,80000,5900000,4935000,0.06625,27900.912202901814
Fjallabyggð,2016,80-89,81023.5,7200000,6490000,0.06625,34048.57082388018
Fjallabyggð,2016,90-99,94000,10000000,7840000,0.06625,47289.681699833585
Fjallabyggð,2016,100-109,80000,6500000,8930000,0.06625,30738.29310489183
Fjallabyggð,2016,110-150,100000,15250000,11225000,0.06625,72116.76459224623
Fjallabyggð,2017,50-59,80807,6450000,5365000,0.06,28249.774980267808
Fjallabyggð,2017,60-69,70000,7100000,6280000,0.06,31096.65152866689
Fjallabyggð,2017,70-79,70000,11500000,7450000,0.06,50367.81585629145
Fjallabyggð,2017,80-89,95007.5,10000000,7450000,0.06,43798.10074460125
Fjallabyggð,2017,110-150,100000,15000000,11150000,0.06,65697.15111690188
Fjallabyggð,2018,50-59,80000,6750000,6635000,0.06,29563.71800260585
Fjallabyggð,2018,60-69,85500,7750000,7395000,0.06,33943.528077065974
Fjallabyggð,2018,70-79,90000,10150000,7825000,0.06,44455.072255770276
Fjallabyggð,2018,80-89,91250,12895000,8420000,0.06,56477.65091016332
Fjallabyggð,2018,100-109,110000,10000000,10750000,0.06,43798.10074460125
Fjallabyggð,2018,110-150,120000,13000000,13250000,0.06,56937.530967981635
Fjallabyggð,2019,60-69,95000,9500000,7200000,0.053099999999999994,38052.47571978091
Fjallabyggð,2019,70-79,100000,9675000,8125000,0.053099999999999994,38753.442377776875
Fjallabyggð,2019,80-89,110000,24850000,15450000,0.053099999999999994,99537.2654354269
Fjallabyggð,2019,100-109,100473.5,16000000,15950000,0.053099999999999994,64088.38015963101
